"Liczba_Obserwacji","Dolna_Granica","Gorna_Granica","Nazwa_Zmiennej"
0,-1.0688289870943,1.8768289870943,"gender"
0,-20.9931080247159,115.595348024716,"age"
0,-0.867653192389145,1.11765319238914,"hypertension"
73,-0.707800005538325,0.853800005538325,"heart_disease"
0,-0.668495534079495,2.0744955340795,"ever_married"
3,-35.3743084915332,256.514968491533,"avg_glucose_level"
14,5.95680402614028,53.3027959738597,"bmi"
0,-0.803438504824407,1.00543850482441,"work_typechildren"
0,-0.850308639650407,1.08630863965041,"work_typeGovt_job"
5,-0.206706919631409,0.216706919631409,"work_typeNever_worked"
0,-0.867191111640185,2.07119111164018,"work_typePrivate"
0,-0.963897539680445,1.31189753968045,"work_typeSelf-employed"
0,-1.00273855691663,1.99873855691663,"Residence_typeRural"
0,-0.998738556916632,2.00273855691663,"Residence_typeUrban"
0,-0.974632504945446,1.33663250494545,"smoking_statusformerly smoked"
0,-1.07042924418762,1.87042924418762,"smoking_statusnever smoked"
0,-0.942144563476577,1.26414456347658,"smoking_statussmokes"
0,-1.05525878967119,1.57125878967119,"smoking_statusUnknown"
0,-1.01139352684303,1.42939352684303,"Stroke"
